trade_id,entry_time,exit_time,direction,entry_price,exit_price,pnl,exit_reason,duration_minutes
250,2020-03-10 13:30:00,2020-03-10 13:37:00,Short,1.1371,1.1381,-0.001,SL,7.0
251,2020-03-10 14:50:00,2020-03-10 15:56:00,Long,1.13678,1.13578,-0.001,SL,66.0
252,2020-03-10 17:29:00,2020-03-10 18:23:00,Long,1.13112,1.13012,-0.001,SL,54.0
253,2020-03-10 19:38:00,2020-03-10 20:33:00,Long,1.12954,1.12854,-0.001,SL,55.0
254,2020-03-10 21:24:00,2020-03-10 21:46:00,Long,1.12878,1.12778,-0.001,SL,22.0
255,2020-03-10 21:53:00,2020-03-10 22:14:00,Short,1.12874,1.12974,-0.001,SL,21.0
256,2020-03-10 23:26:00,2020-03-10 23:46:00,Short,1.13027,1.13127,-0.001,SL,20.0
257,2020-03-10 23:49:00,2020-03-11 00:05:00,Long,1.13156,1.13056,-0.001,SL,16.0
258,2020-03-11 00:17:00,2020-03-11 00:35:00,Short,1.13048,1.13148,-0.001,SL,18.0
259,2020-03-11 00:42:00,2020-03-11 03:39:00,Long,1.13142,1.13342,0.002,TP,177.0
260,2020-03-11 04:10:00,2020-03-11 05:01:00,Short,1.13291,1.13391,-0.001,SL,51.0
261,2020-03-11 05:48:00,2020-03-11 06:17:00,Short,1.13426,1.13526,-0.001,SL,29.0
262,2020-03-11 07:11:00,2020-03-11 08:02:00,Short,1.13445,1.13245,0.002,TP,51.0
263,2020-03-11 08:43:00,2020-03-11 08:49:00,Long,1.13273,1.13173,-0.001,SL,6.0
264,2020-03-11 08:59:00,2020-03-11 09:02:00,Short,1.13127,1.13227,-0.001,SL,3.0
265,2020-03-11 09:18:00,2020-03-11 09:44:00,Long,1.13213,1.13113,-0.001,SL,26.0
266,2020-03-11 10:19:00,2020-03-11 11:25:00,Long,1.1316,1.1336,0.002,TP,66.0
267,2020-03-11 11:56:00,2020-03-11 12:08:00,Short,1.13252,1.13352,-0.001,SL,12.0
268,2020-03-11 12:16:00,2020-03-11 14:08:00,Long,1.1339,1.1329,-0.001,SL,112.0
269,2020-03-11 16:32:00,2020-03-11 21:01:00,Long,1.12738,1.12638,-0.001,SL,269.0
270,2020-03-11 21:59:00,2020-03-12 01:14:00,Long,1.12605,1.12805,0.002,TP,195.0
271,2020-03-12 01:17:00,2020-03-12 01:28:00,Long,1.12939,1.13139,0.002,TP,11.0
272,2020-03-12 02:15:00,2020-03-12 04:23:00,Short,1.13166,1.12966,0.002,TP,128.0
273,2020-03-12 05:08:00,2020-03-12 06:12:00,Long,1.12961,1.12861,-0.001,SL,64.0
274,2020-03-12 06:34:00,2020-03-12 07:42:00,Long,1.12939,1.13139,0.002,TP,68.0
275,2020-03-12 08:13:00,2020-03-12 08:23:00,Short,1.13035,1.12835,0.002,TP,10.0
276,2020-03-12 09:08:00,2020-03-12 09:16:00,Long,1.12762,1.12662,-0.001,SL,8.0
277,2020-03-12 09:28:00,2020-03-12 09:41:00,Short,1.12564,1.12664,-0.001,SL,13.0
278,2020-03-12 10:44:00,2020-03-12 11:24:00,Long,1.12334,1.12234,-0.001,SL,40.0
279,2020-03-12 12:00:00,2020-03-12 12:06:00,Long,1.12373,1.12573,0.002,TP,6.0
280,2020-03-12 12:29:00,2020-03-12 12:29:00,Short,1.12217,1.12317,-0.001,SL,0.0
281,2020-03-12 12:52:00,2020-03-12 12:52:00,Long,1.12877,1.12777,-0.001,SL,0.0
282,2020-03-12 13:14:00,2020-03-12 13:18:00,Short,1.12377,1.12177,0.002,TP,4.0
283,2020-03-12 16:39:00,2020-03-12 16:41:00,Long,1.1101,1.1091,-0.001,SL,2.0
284,2020-03-12 18:33:00,2020-03-12 18:39:00,Short,1.11702,1.11802,-0.001,SL,6.0
285,2020-03-12 19:16:00,2020-03-12 19:42:00,Long,1.11817,1.12017,0.002,TP,26.0
286,2020-03-12 20:35:00,2020-03-12 20:40:00,Short,1.11685,1.11785,-0.001,SL,5.0
287,2020-03-12 21:10:00,2020-03-12 21:11:00,Long,1.1196,1.1186,-0.001,SL,1.0
288,2020-03-12 21:34:00,2020-03-12 21:47:00,Short,1.11709,1.11809,-0.001,SL,13.0
289,2020-03-12 22:16:00,2020-03-13 00:04:00,Long,1.11725,1.11625,-0.001,SL,108.0
290,2020-03-13 00:06:00,2020-03-13 01:19:00,Short,1.11664,1.11764,-0.001,SL,73.0
291,2020-03-13 02:10:00,2020-03-13 02:46:00,Short,1.11777,1.11877,-0.001,SL,36.0
292,2020-03-13 04:25:00,2020-03-13 04:38:00,Short,1.12052,1.12152,-0.001,SL,13.0
293,2020-03-13 04:45:00,2020-03-13 05:28:00,Long,1.1217,1.1207,-0.001,SL,43.0
294,2020-03-13 06:12:00,2020-03-13 06:20:00,Long,1.12053,1.11953,-0.001,SL,8.0
295,2020-03-13 06:23:00,2020-03-13 06:32:00,Short,1.11928,1.12028,-0.001,SL,9.0
296,2020-03-13 06:48:00,2020-03-13 07:09:00,Long,1.12013,1.11913,-0.001,SL,21.0
297,2020-03-13 07:12:00,2020-03-13 07:23:00,Short,1.11956,1.11756,0.002,TP,11.0
298,2020-03-13 08:13:00,2020-03-13 08:15:00,Long,1.11789,1.11989,0.002,TP,2.0
299,2020-03-13 09:19:00,2020-03-13 09:44:00,Short,1.11948,1.11748,0.002,TP,25.0
300,2020-03-13 10:33:00,2020-03-13 11:06:00,Long,1.11623,1.11523,-0.001,SL,33.0
301,2020-03-13 11:30:00,2020-03-13 11:35:00,Long,1.11719,1.11619,-0.001,SL,5.0
302,2020-03-13 11:50:00,2020-03-13 11:57:00,Short,1.11457,1.11557,-0.001,SL,7.0
303,2020-03-13 12:12:00,2020-03-13 12:29:00,Long,1.11604,1.11504,-0.001,SL,17.0
304,2020-03-13 12:36:00,2020-03-13 12:51:00,Short,1.11518,1.11318,0.002,TP,15.0
305,2020-03-13 13:46:00,2020-03-13 14:15:00,Long,1.11206,1.11106,-0.001,SL,29.0
306,2020-03-13 14:26:00,2020-03-13 15:12:00,Short,1.11064,1.11164,-0.001,SL,46.0
307,2020-03-13 15:45:00,2020-03-13 15:53:00,Short,1.10949,1.11049,-0.001,SL,8.0
308,2020-03-13 17:05:00,2020-03-13 17:38:00,Long,1.10903,1.10803,-0.001,SL,33.0
309,2020-03-13 17:42:00,2020-03-13 17:53:00,Short,1.10777,1.10577,0.002,TP,11.0
310,2020-03-13 18:13:00,2020-03-13 18:16:00,Long,1.10948,1.10848,-0.001,SL,3.0
311,2020-03-13 18:35:00,2020-03-13 19:29:00,Short,1.10817,1.10617,0.002,TP,54.0
312,2020-03-13 19:57:00,2020-03-13 19:59:00,Long,1.10857,1.11057,0.002,TP,2.0
313,2020-03-13 21:10:00,2020-03-15 21:00:00,Short,1.10992,1.10792,0.002,TP,2870.0
314,2020-03-15 22:16:00,2020-03-15 22:18:00,Short,1.11744,1.11544,0.002,TP,2.0
315,2020-03-15 23:18:00,2020-03-15 23:39:00,Long,1.11696,1.11896,0.002,TP,21.0
316,2020-03-16 00:02:00,2020-03-16 00:05:00,Short,1.11561,1.11361,0.002,TP,3.0
317,2020-03-16 02:01:00,2020-03-16 02:47:00,Long,1.11019,1.10919,-0.001,SL,46.0
318,2020-03-16 03:09:00,2020-03-16 03:49:00,Long,1.11078,1.11278,0.002,TP,40.0
319,2020-03-16 04:26:00,2020-03-16 04:57:00,Short,1.11183,1.11283,-0.001,SL,31.0
320,2020-03-16 05:27:00,2020-03-16 05:52:00,Short,1.11179,1.11279,-0.001,SL,25.0
321,2020-03-16 05:54:00,2020-03-16 05:58:00,Long,1.11293,1.11193,-0.001,SL,4.0
322,2020-03-16 07:04:00,2020-03-16 07:24:00,Short,1.1145,1.1155,-0.001,SL,20.0
323,2020-03-16 07:32:00,2020-03-16 07:34:00,Short,1.11378,1.11478,-0.001,SL,2.0
324,2020-03-16 07:36:00,2020-03-16 07:40:00,Long,1.11518,1.11718,0.002,TP,4.0
325,2020-03-16 09:34:00,2020-03-16 10:17:00,Short,1.12042,1.11842,0.002,TP,43.0
326,2020-03-16 11:47:00,2020-03-16 12:00:00,Long,1.11694,1.11894,0.002,TP,13.0
327,2020-03-16 12:39:00,2020-03-16 12:51:00,Short,1.11747,1.11547,0.002,TP,12.0
328,2020-03-16 13:57:00,2020-03-16 14:12:00,Long,1.11479,1.11379,-0.001,SL,15.0
329,2020-03-16 14:23:00,2020-03-16 14:27:00,Short,1.11256,1.11356,-0.001,SL,4.0
